Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Jared Abbrederis,FA,2014,Combine,73,195,31.38,9.63,4.50,4.08,6.80,30.5,117.0,4.0
Jonathan Adams,FA,2021,Combine,74,210,32.13,9.88,4.54,4.38,7.04,39.0,132.0,
Joe Adams,FA,2012,Combine,71,179,31.88,9.38,4.57,,7.09,36.0,123.0,
Rodney Adams,NYJ,2017,Combine,73,189,32.00,9.00,4.44,4.28,6.98,29.5,125.0,8.0
Davante Adams,LV,2014,Combine,73,215,32.63,9.00,4.56,4.30,6.82,39.5,123.0,14.0
Bralon Addison,FA,2016,Combine,70,190,29.50,9.13,4.66,4.14,6.95,34.5,116.0,13.0
Quincy Adeboyejo,FA,2017,Pro Day,75,200,31.75,9.38,,,,37.0,,
Nelson Agholor,NE,2015,Combine,72,198,32.25,9.25,4.42,,,,,12.0
Brandon Aiyuk,SF,2020,Combine,72,200,33.50,9.75,4.50,,,40.0,128.0,11.0
Seyi Ajirotutu,FA,2010,Combine,75,215,32.63,9.38,4.60,4.39,7.22,36.0,115.0,14.0
Danario Alexander,FA,2010,Combine,77,217,,,4.62,,,,,
Mario Alford,FA,2015,Combine,68,177,31.25,9.38,4.43,4.07,6.64,34.0,121.0,13.0
Davonte Allen,FA,2016,Pro Day,73,208,,,4.57,4.44,6.81,39.0,128.0,15.0
Keenan Allen,LAC,2013,Combine,74,211,32.75,10.00,,,,,,
Geronimo Allison,FA,2016,Combine,75,202,32.88,9.50,4.67,4.28,7.40,33.0,127.0,
Danny Amendola,FA,2008,Combine,71,185,,,4.58,4.25,6.81,27.5,103.0,13.0
Dres Anderson,FA,2015,Pro Day,74,190,,,4.54,4.22,6.83,,121.0,
Robbie Anderson,ARI,2016,Pro Day,75,190,,,4.34,4.28,7.07,36.5,128.0,8.0
Daniel Anthrop,FA,2016,Pro Day,72,193,,,4.49,4.15,6.82,30.5,119.0,
J.J. Arcega-Whiteside,FA,2019,Combine,74,237,33.25,9.50,,,,,,
Marcell Ateman,FA,2018,Combine,76,216,32.88,9.88,4.62,4.25,7.07,34.0,121.0,13.0
