player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
James Proche,48037,WR,SMU,13,163,0,287,0,-2.7,4,93.8,0.0,0,1,0.0,0,7,0,99.9,80.5,0,21,0.0,0,92,30,97.8,90,106.6,32,19.6,2,147,228,7.6,4.9,1.63,9.3,3,66.7,47.4,9,19,1.8,1,28,1,91.3,87.1,5,51,0.0,0,259,56,94.2,244,100.7,84,51.5,10,571,261,4.7,10.2,2.34
Cedric Byrd II,75938,WR,HAWAII,15,149,0,180,0,-1.3,0,87.5,,0,0,12.5,1,1,1,52.6,40.1,0,44,0.0,0,39,7,97.4,38,99.5,8,5.4,0,63,72,10.3,9.0,1.66,11.5,11,65.8,40.0,6,15,10.3,11,48,1,58.2,65.9,6,46,0.0,0,677,96,96.5,653,93.1,146,98.0,10,1070,314,3.3,11.1,1.64
Jadan Blue,61705,WR,TEMPLE,13,144,0,306,0,-2.7,7,88.4,0.0,0,1,7.3,3,7,0,79.7,75.1,0,30,0.0,0,88,38,100.0,88,101.5,43,29.9,2,199,303,8.0,5.2,2.26,9.1,8,65.6,30.8,4,13,11.3,11,42,0,58.9,72.6,2,79,0.0,0,448,86,95.8,429,90.1,131,91.0,3,1008,560,6.5,11.7,2.35
Omar Bayless,25522,WR,ARK STATE,13,141,0,113,0,-1.8,2,90.9,,0,0,9.1,1,4,0,65.9,55.0,0,17,0.0,0,82,10,93.9,77,87.5,11,7.8,0,55,72,7.2,5.5,0.71,3.7,1,71.4,,0,0,16.7,1,4,0,75.8,90.1,0,41,0.0,0,35,5,91.4,32,111.0,7,5.0,0,83,62,12.4,16.6,2.59
Antonio Gandy-Golden,39993,WR,LIBERTY,13,138,0,206,0,0.0,3,100.0,,0,0,0.0,0,3,0,92.6,67.7,0,17,0.0,0,41,4,95.1,39,118.8,4,2.9,0,56,56,14.0,14.0,1.44,11.6,3,64.7,50.0,2,4,0.0,0,8,0,90.2,87.6,0,29,0.0,0,52,11,92.3,48,132.2,17,12.3,2,151,67,6.1,13.7,3.15
Justin Jefferson,61398,WR,LSU,15,134,0,211,0,-2.5,5,94.1,,0,0,5.9,1,5,0,81.6,80.1,0,38,0.0,0,41,16,100.0,41,114.2,17,12.7,1,114,155,9.7,7.1,2.78,9.6,24,83.2,92.3,12,13,6.0,7,70,0,89.3,90.5,2,71,0.0,0,596,109,96.5,575,148.2,131,97.8,18,1518,695,6.4,13.9,2.64
Michael Pittman Jr.,29049,WR,USC,13,133,0,326,0,-1.5,7,100.0,,0,0,0.0,0,9,0,99.9,91.9,0,19,0.0,0,78,27,100.0,78,105.6,27,20.3,1,172,213,7.9,6.4,2.21,7.3,1,91.7,0.0,0,1,0.0,0,8,0,94.8,84.6,0,28,0.0,0,55,11,96.4,53,144.1,12,9.0,1,143,78,7.1,13.0,2.7
Devin Duvernay,40006,WR,TEXAS,13,129,0,311,0,-1.8,14,93.3,0.0,0,1,4.5,2,17,0,94.8,93.6,0,15,0.0,0,73,42,94.5,69,104.7,45,34.9,2,251,332,7.9,6.0,3.64,8.0,22,81.3,60.0,12,20,2.8,3,68,0,94.2,91.8,3,75,0.0,0,487,104,94.3,459,125.5,128,99.2,9,1387,713,6.9,13.3,3.02
David Bell,97989,WR,PURDUE,12,128,0,273,0,-2.9,4,100.0,,0,0,0.0,0,3,0,97.6,60.6,0,31,0.0,0,53,12,96.2,51,88.2,12,9.4,0,62,97,8.1,5.2,1.22,9.2,1,71.4,50.0,2,4,0.0,0,4,0,94.1,82.5,1,49,0.0,0,50,10,98.0,49,107.1,14,10.9,2,120,50,5.0,12.0,2.45
Gabriel Davis,55410,WR,UCF,12,128,0,323,0,-1.1,1,80.0,,0,0,0.0,0,0,0,95.2,46.1,0,6,0.0,0,75,8,97.3,73,79.2,10,7.8,0,25,39,4.9,3.1,0.34,15.4,2,57.1,50.0,1,2,0.0,0,4,0,81.4,79.1,0,48,0.0,0,30,8,90.0,27,115.5,14,10.9,1,141,64,8.0,17.6,5.22
