"","player","player_id","position","team_name1yr","player_game_count1yr","avg_depth_of_target1yr","avoided_tackles1yr","caught_percent1yr","contested_catch_rate1yr","contested_receptions1yr","contested_targets1yr","declined_penalties1yr","drop_rate1yr","drops1yr","first_downs1yr","franchise_id1yr","fumbles1yr","grades_hands_drop1yr","grades_hands_fumble1yr","grades_offense1yr","grades_pass_block1yr","grades_pass_route1yr","inline_rate1yr","inline_snaps1yr","interceptions1yr","longest1yr","pass_block_rate1yr","pass_blocks1yr","pass_plays1yr","penalties1yr","receptions1yr","route_rate1yr","routes1yr","slot_rate1yr","slot_snaps1yr","targeted_qb_rating1yr","targets1yr","touchdowns1yr","wide_rate1yr","wide_snaps1yr","yards1yr","yards_after_catch1yr","yards_after_catch_per_reception1yr","yards_per_reception1yr","yprr1yr","team_name2yr","player_game_count2yr","avg_depth_of_target2yr","avoided_tackles2yr","caught_percent2yr","contested_catch_rate2yr","contested_receptions2yr","contested_targets2yr","declined_penalties2yr","drop_rate2yr","drops2yr","first_downs2yr","franchise_id2yr","fumbles2yr","grades_hands_drop2yr","grades_hands_fumble2yr","grades_offense2yr","grades_pass_block2yr","grades_pass_route2yr","inline_rate2yr","inline_snaps2yr","interceptions2yr","longest2yr","pass_block_rate2yr","pass_blocks2yr","pass_plays2yr","penalties2yr","receptions2yr","route_rate2yr","routes2yr","slot_rate2yr","slot_snaps2yr","targeted_qb_rating2yr","targets2yr","touchdowns2yr","wide_rate2yr","wide_snaps2yr","yards2yr","yards_after_catch2yr","yards_after_catch_per_reception2yr","yards_per_reception2yr","yprr2yr","team_name_draft","player_game_count_draft","caught_percent_draft","drop_rate_draft","drops_draft","first_downs_draft","grades_hands_drop_draft","grades_hands_fumble_draft","grades_offense_draft","grades_pass_route_draft","pass_plays_draft","receptions_draft","route_rate_draft","routes_draft","targeted_qb_rating_draft","targets_draft","touchdowns_draft","yards_draft","yards_after_catch_draft","yards_after_catch_per_reception_draft","yards_per_reception_draft","yprr_draft","team_name_pre","player_game_count_pre","caught_percent_pre","drop_rate_pre","drops_pre","first_downs_pre","grades_hands_drop_pre","grades_hands_fumble_pre","grades_offense_pre","grades_pass_route_pre","pass_plays_pre","receptions_pre","route_rate_pre","routes_pre","targeted_qb_rating_pre","targets_pre","touchdowns_pre","yards_pre","yards_after_catch_pre","yards_after_catch_per_reception_pre","yards_per_reception_pre","yprr_pre","total_yards","total_catch_percent","total_target_percent","total_route_percent","total_drop_percent","total_yprr","total_first_downs","total_yards_per_reception","total_yards_after_catch_per_reception","total_player_game_count","total_touchdowns","total_yards_per_game","total_yards_after_catch_per_game","total_targets_per_game","total_targeted_qb_rating","games_draft","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_route","Team","Date","Title","Height","Weight","Arm","Hand","X40.Yard","Shuttle","Cone","Vertical","Broad","Bench","Power5"
"1","Sterling Shepard",10674,"WR","NYG",17,9.8,8,61.6,100,3,3,1,10.4,8,46,21,0,53.3,82,66.2,68.8,66.2,0.1,1,6,32,0.1,1,692,2,69,94.9,657,85.3,590,82.7,112,8,14.6,101,746,265,3.8,10.8,1.14,"NYG",11,8.9,5,71.1,63.6,14,22,0,6.3,4,36,21,1,69.8,45.8,70.7,NA,70.6,0.4,2,0,77,0,0,467,2,59,94,439,83.3,389,106,83,2,15.6,73,731,303,5.1,12.4,1.67,"OKLAHOMA",13,72.9,4.4,4,64,83.4,76.4,91.5,90.8,469,86,95.5,448,135.9,118,11,1289,495,5.8,15,2.88,"OKLAHOMA",10,62.2,1.9,1,0,88,75.9,85.8,86.9,262,51,96.2,252,103.2,82,5,970,343,6.7,19,3.85,2259,0.685,0.285714285714286,0.957592339261286,0.025,6.73,64,34,12.5,23,16,98.2173913043478,36.4347826086956,8.69565217391304,119.55,0.565217391304348,85.4,76.1826086956522,89.0217391304348,89.104347826087,"NYG",2016,"Combine",70,196,30.38,9.75,4.48,4.35,7,41,123,20,1
"2","Tyler Boyd",10689,"WR","CIN",16,9,2,71.1,50,1,2,0,5.3,3,33,7,1,74,80.4,65.1,64.9,64.4,0.8,4,3,30,0.2,1,510,1,54,94.3,481,88.4,451,82.3,76,1,10.8,55,603,213,3.9,11.2,1.25,"CIN",10,6.9,1,71,75,3,4,0,12,3,14,7,0,49.3,74.9,62,NA,61.5,0.5,1,1,49,0,0,219,0,22,94.5,207,87.2,191,99.5,31,2,12.3,27,225,93,4.2,10.2,1.09,"PITTSBURGH",12,71.8,5.1,5,52,81.9,68.7,89.9,90.3,361,94,95.8,346,91.1,131,6,940,418,4.4,10,2.72,"PITTSBURGH",13,64.5,6,5,1,75.5,59.8,90.3,91.6,343,78,95,326,107.4,121,8,1257,506,6.5,16.1,3.86,2197,0.682539682539683,0.375,0.954545454545455,0.0396825396825397,6.58,53,26.1,10.9,25,14,87.88,36.96,10.08,99.25,0.48,78.572,64.072,90.108,90.976,"CIN",2016,"Combine",74,203,32,9.75,4.58,4.35,6.9,34,119,11,1
"3","Robbie Anderson",11254,"WR","NYJ",16,16.9,3,56,50,2,4,0,12.5,6,18,22,1,39.2,34.3,58,NA,56.4,1.7,8,5,52,0,0,476,1,42,95.6,455,11.1,53,62.5,75,2,86.8,413,587,118,2.8,14,1.29,"NYJ",16,13.6,5,56.8,30.8,8,26,1,8.7,6,36,22,0,60.3,80.9,71.4,NA,72.6,0,0,5,69,0,0,520,3,63,94.6,492,28.1,146,87,111,7,71.5,372,941,285,4.5,14.9,1.91,"TEMPLE",14,58.3,13.6,11,39,46.4,55.7,73.1,74.6,429,70,93,399,92.3,120,7,939,298,4.3,13.4,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0916666666666667,NA,39,13.4,4.3,14,7,67.0714285714286,21.2857142857143,8.57142857142857,46.15,1,46.4,55.7,73.1,74.6,"ARI",2016,"Pro Day",75,190,NA,NA,4.34,4.28,7.07,36.5,128,8,0
"4","Corey Coleman",10649,"WR","CLV",10,15.5,8,53.2,NA,0,0,1,10.8,4,17,8,0,51.9,77.5,61.7,NA,61.9,0,0,3,58,0,0,379,3,33,95,360,5.3,20,70.2,62,3,94.7,359,413,100,3,12.5,1.15,"CLV",9,14.5,2,46,58.3,7,12,0,14.8,4,16,8,0,37.7,75.5,60.4,61.6,61.9,0,0,3,44,0.3,1,312,5,23,93.6,292,7.4,23,54.2,50,2,92.3,288,305,27,1.2,13.3,1.04,"BAYLOR",12,63.8,11.9,10,51,56.9,79.5,90,90.4,367,74,93.2,342,133.1,116,20,1365,569,7.7,18.4,3.99,"BAYLOR",10,70.3,9.9,7,1,58,77.2,81.3,83.8,324,64,96.3,312,146.9,91,11,1119,421,6.6,17.5,3.59,2484,0.666666666666667,0.31651376146789,0.946454413892909,0.0821256038647343,7.58,52,35.9,14.3,22,31,112.909090909091,45,9.40909090909091,140,0.545454545454545,57.4,78.4545454545455,86.0454545454545,87.4,"FA",2016,"Combine",71,193,30.25,9,NA,NA,NA,40.5,129,17,1
"5","Charone Peake",10875,"WR","NYJ",13,9.5,4,57.6,100,1,1,0,9.5,2,7,22,0,58.1,74.4,59,NA,57.7,0,0,2,27,0,0,239,0,19,95,227,77,184,48.3,33,0,23,55,186,73,3.8,9.8,0.82,"NYJ",3,2,0,100,NA,0,0,0,0,0,1,22,0,64.7,61.2,57.8,NA,62.6,0,0,0,3,0,0,12,0,1,83.3,10,33.3,4,79.2,1,0,66.7,8,3,1,1,3,0.3,"CLEMSON",15,61.7,9.1,5,31,65.9,73.9,72.1,70.4,388,50,95.4,370,95.9,81,5,723,269,5.4,14.5,1.95,"CLEMSON",7,70.6,0,0,0,82.2,68.5,62.3,63.2,128,12,97.7,125,107.2,17,2,129,49,4.1,10.8,1.03,852,0.63265306122449,0.197979797979798,0.959302325581395,0.0510204081632653,2.98,31,25.3,9.5,22,7,38.7272727272727,14.4545454545455,4.45454545454545,101.55,0.681818181818182,71.0863636363636,72.1818181818182,68.9818181818182,68.1090909090909,"FA",2016,"Combine",74,209,34,9.25,4.45,4.46,6.96,35.5,122,12,1
"6","Ricardo Louis",10748,"WR","CLV",14,10.8,4,56.3,50,1,2,0,14.3,3,7,8,1,43.3,27.4,57.9,66.1,57.1,0,0,1,42,0.5,1,222,2,18,94.6,210,21.6,48,62.6,32,0,78.4,174,205,93,5.2,11.4,0.98,"CLV",15,14.2,3,49.1,45.5,5,11,0,20.6,7,18,8,0,27.5,76.1,53.1,62.3,52,0,0,2,37,0.2,1,406,1,27,91.4,371,20.7,84,54.9,55,0,79.3,322,357,83,3.1,13.2,0.96,"AUBURN",13,56.8,11.5,6,28,56.8,27.5,76,80.8,212,46,96.2,204,93.5,81,3,717,198,4.3,15.6,3.51,"AUBURN",12,67.7,19.2,5,0,37.2,76.5,68.3,61.8,122,21,95.9,117,125.9,31,3,261,160,7.6,12.4,2.23,978,0.598214285714286,0.348909657320872,0.961077844311377,0.0982142857142857,5.74,28,28,11.9,25,6,39.12,14.32,4.48,109.7,0.52,47.392,51.02,72.304,71.68,"FA",2016,"Combine",74,215,32.38,9.5,4.43,NA,NA,38,132,18,1
"7","Geronimo Allison",11141,"WR","GB",13,13,1,58.6,NA,0,0,1,0,0,15,12,0,82.2,73.6,66.5,NA,67,0.4,1,0,39,0,0,225,1,17,94.7,213,48.4,109,112.3,29,2,51.1,115,267,73,4.3,15.7,1.25,"GB",15,7.9,1,60.5,60,3,5,0,14.8,4,11,12,1,40.2,23.9,50.9,70.2,52.3,0.4,1,3,72,0.4,1,281,1,23,92.9,261,39.9,112,47.4,38,0,59.8,168,253,122,5.3,11,0.97,"ILLINOIS",12,51.2,15.6,12,41,42.4,52,66.6,65.6,517,65,95.9,496,71.6,127,3,879,319,4.9,13.5,1.77,"ILLINOIS",12,56.2,6.8,3,1,71.5,41,63.6,62,461,41,95.2,439,94.4,73,5,597,149,3.6,14.6,1.36,1476,0.53,0.213903743315508,0.956032719836401,0.075,3.13,42,28.1,8.5,24,8,61.5,19.5,8.33333333333333,83,0.5,56.95,46.5,65.1,63.8,"FA",2016,"Combine",75,202,32.88,9.5,4.67,4.28,7.4,33,127,NA,1
"8","Braxton Miller",10719,"WR","HST",10,7.6,3,55.6,NA,0,0,0,11.8,2,6,13,0,52.8,76.7,50.8,NA,50.9,0,0,2,12,0,0,242,0,15,95.5,231,66.5,161,45.1,27,1,33.1,80,99,52,3.5,6.6,0.43,"HST",11,8,0,67.9,75,3,4,0,0,0,7,13,0,83.6,76.5,55.2,NA,54.9,0.4,1,0,57,0,0,268,1,19,90.3,242,37.3,100,94.6,28,1,62.3,167,162,71,3.7,8.5,0.67,"OHIO STATE",13,68.4,3.7,1,16,78.4,27.2,69,68.6,183,26,96.2,176,101,38,3,342,162,6.2,13.2,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0263157894736842,NA,16,13.2,6.2,13,3,26.3076923076923,12.4615384615385,2.92307692307692,50.5,1,78.4,27.2,69,68.6,"FA",2016,"Combine",73,205,31.75,9.13,4.5,4.07,6.65,35,123,17,1
"9","Cody Core",10833,"WR","CIN",8,7.5,1,65.4,NA,0,0,0,5.6,1,7,7,0,68,73.6,60.7,NA,60.3,0,0,0,50,0,0,138,0,17,97.8,135,7.2,10,88.6,26,0,92.8,128,200,118,6.9,11.8,1.48,"CIN",7,31,0,0,0,0,1,0,NA,0,0,7,0,NA,NA,49,NA,49.3,0,0,0,0,0,0,44,0,0,97.7,43,6.8,3,39.6,4,0,93.2,41,0,0,NA,NA,0,"OLE MISS",13,66.1,5.1,2,27,76.2,72.9,69.8,69.9,325,37,95.4,310,121.5,56,4,645,272,7.4,17.4,2.08,"OLE MISS",13,64.1,6.8,3,1,72.6,45,68.5,67,405,41,96.3,390,103.5,64,6,557,243,5.9,13.6,1.43,1202,0.65,0.171428571428571,0.958904109589041,0.0416666666666667,3.51,28,31,13.3,26,10,46.2307692307692,19.8076923076923,4.61538461538461,112.5,0.5,74.4,58.95,69.15,68.45,"FA",2016,"Combine",75,205,32,10.38,4.47,NA,NA,31.5,119,14,1
"10","Pharoh Cooper",10751,"WR","LA",10,4.1,3,73.7,NA,0,0,0,12.5,2,4,26,0,50.1,81.3,52.8,NA,54.4,5.7,8,2,23,0,0,140,0,14,92.9,130,75.7,106,47.1,19,0,17.1,24,106,72,5.1,7.6,0.82,"LA",17,6.1,2,64.7,66.7,2,3,0,8.3,1,3,26,0,60.2,28.6,62.8,77.5,59.3,2.1,2,0,26,6.3,6,96,0,11,88.5,85,57.3,55,76.6,17,0,38.5,37,84,54,4.9,7.6,0.99,"S CAROLINA",12,59.5,7,5,37,73.3,61.9,76.7,82,396,66,94.9,376,93.6,111,8,978,514,7.8,14.8,2.6,"S CAROLINA",13,68.3,6.8,5,0,78.8,47.4,77.3,78.2,456,69,93.4,426,131.5,101,9,1136,548,7.9,16.5,2.67,2114,0.636792452830189,0.264339152119701,0.94131455399061,0.0471698113207547,5.27,37,31.3,15.7,25,17,84.56,42.48,8.48,112.55,0.48,76.16,54.36,77.012,80.024,"FA",2016,"Combine",71,210,32.25,9.13,4.52,NA,NA,31,115,15,1
